Cells,Chip,Run,"Selection step (T0, black and white)",Tumor,NK,Final
chip1_1851035014_site_34,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_35,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_36,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_37,chip1,Run 1,Cancer,1,0,Cancer
chip1_1851035014_site_38,chip1,Run 1,Cancer,0,0,0
chip1_1851035014_site_39,chip1,Run 1,Cancer,1,0,Cancer
chip1_1851035014_site_40,chip1,Run 1,Cancer,1,0,Cancer
chip1_1851035014_site_41,chip1,Run 1,NK,0,1,NK
chip1_1851035014_site_42,chip1,Run 1,Cancer,1,0,Cancer
chip1_1851035014_site_43,chip1,Run 1,Cancer,1,0,Cancer
chip1_1851035014_site_44,chip1,Run 1,Cancer,1,0,Cancer
chip1_1851035014_site_45,chip1,Run 1,Cancer,1,0,Cancer
chip1_1851035014_site_46,chip1,Run 1,Cancer,1,0,Cancer
chip1_1851035014_site_47,chip1,Run 1,Cancer,0,0,0
chip1_1851035014_site_48,chip1,Run 1,Cancer-NK,0,1,NK
chip2_1851035011_site_01,chip2,Run 1,NK,0,1,NK
chip2_1851035011_site_02,chip2,Run 1,NK,0,1,NK
chip2_1851035011_site_03,chip2,Run 1,NK,0,1,NK
chip2_1851035011_site_04,chip2,Run 1,NK,1,1,Cancer-NK
chip2_1851035011_site_05,chip2,Run 1,NK,0,1,NK
chip2_1851035011_site_06,chip2,Run 1,NK,0,1,NK
chip2_1851035011_site_07,chip2,Run 1,NK,0,1,NK
chip2_1851035011_site_08,chip2,Run 1,NK,0,1,NK
chip2_1851035011_site_09,chip2,Run 1,NK,0,1,NK
chip2_1851035011_site_10,chip2,Run 1,NK,0,1,NK
chip2_1851035011_site_11,chip2,Run 1,NK,0,1,NK
chip2_1851035011_site_12,chip2,Run 1,NK,0,1,NK
chip2_1851035011_site_13,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_14,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_15,chip2,Run 1,Cancer-NK,1,0,Cancer
chip2_1851035011_site_16,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_17,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_18,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_19,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_20,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_21,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_22,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_23,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_24,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_25,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_26,chip2,Run 1,Cancer-NK,0,1,NK
chip2_1851035011_site_27,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_28,chip2,Run 1,Cancer-NK,0,1,NK
chip2_1851035011_site_29,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_30,chip2,Run 1,Cancer-NK,0,1,NK
chip2_1851035011_site_31,chip2,Run 1,Cancer-NK,1,0,Cancer
chip2_1851035011_site_32,chip2,Run 1,NK,0,0,0
chip2_1851035011_site_33,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_34,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_35,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_36,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_37,chip2,Run 1,Cancer,1,0,Cancer
chip2_1851035011_site_38,chip2,Run 1,0,0,0,0
chip2_1851035011_site_39,chip2,Run 1,Cancer,1,0,Cancer
chip2_1851035011_site_40,chip2,Run 1,Cancer,1,0,Cancer
chip2_1851035011_site_41,chip2,Run 1,Cancer,0,0,0
chip2_1851035011_site_42,chip2,Run 1,Cancer,1,0,Cancer
chip2_1851035011_site_43,chip2,Run 1,Cancer,1,0,Cancer
chip2_1851035011_site_44,chip2,Run 1,Cancer-NK,1,1,Cancer-NK
chip2_1851035011_site_45,chip2,Run 1,Cancer,1,0,Cancer
chip2_1851035011_site_46,chip2,Run 1,Cancer,1,0,Cancer
chip2_1851035011_site_47,chip2,Run 1,Cancer,1,0,Cancer
chip2_1851035011_site_48,chip2,Run 1,Cancer,1,0,Cancer
chip3_1851035015_site_01,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_02,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_03,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_04,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_05,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_06,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_07,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_08,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_09,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_10,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_11,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_12,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_13,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_14,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_15,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_16,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_17,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_18,chip3,Run 1,Cancer-NK,1,0,Cancer
chip3_1851035015_site_19,chip3,Run 1,Cancer,1,0,Cancer
chip3_1851035015_site_20,chip3,Run 1,NK,0,0,0
chip3_1851035015_site_21,chip3,Run 1,Cancer-NK,1,0,Cancer
chip3_1851035015_site_22,chip3,Run 1,Cancer-NK,1,0,Cancer
chip3_1851035015_site_23,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_24,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_25,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_26,chip3,Run 1,Cancer-NK,0,0,NK
chip3_1851035015_site_27,chip3,Run 1,Cancer-NK,0,1,NK
chip3_1851035015_site_28,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_29,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_30,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_31,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_32,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_33,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_34,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_35,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_36,chip3,Run 1,Cancer-NK,1,1,Cancer-NK
chip3_1851035015_site_37,chip3,Run 1,Cancer,1,0,Cancer
chip3_1851035015_site_38,chip3,Run 1,Cancer,1,0,Cancer
chip3_1851035015_site_39,chip3,Run 1,NK,0,1,NK
chip3_1851035015_site_40,chip3,Run 1,Cancer,0,0,0
chip3_1851035015_site_41,chip3,Run 1,Cancer,1,0,Cancer
chip3_1851035015_site_42,chip3,Run 1,Cancer,1,0,Cancer
chip3_1851035015_site_43,chip3,Run 1,Cancer,1,0,Cancer
chip3_1851035015_site_44,chip3,Run 1,Cancer,1,0,Cancer
chip3_1851035015_site_45,chip3,Run 1,0,0,0,0
chip3_1851035015_site_46,chip3,Run 1,Cancer,0,0,0
chip3_1851035015_site_47,chip3,Run 1,Cancer,0,0,0
chip3_1851035015_site_48,chip3,Run 1,Cancer,0,0,0
chip4_1851035024_site_01,chip4,Run 1,NK,0,0,0
chip4_1851035024_site_02,chip4,Run 1,NK,0,1,NK
chip4_1851035024_site_03,chip4,Run 1,NK,0,1,NK
chip4_1851035024_site_04,chip4,Run 1,NK,0,1,NK
chip4_1851035024_site_05,chip4,Run 1,NK,0,0,0
chip4_1851035024_site_06,chip4,Run 1,NK,0,1,NK
chip4_1851035024_site_07,chip4,Run 1,NK,0,1,NK
chip4_1851035024_site_08,chip4,Run 1,NK,0,1,NK
chip4_1851035024_site_09,chip4,Run 1,NK,0,0,0
chip4_1851035024_site_10,chip4,Run 1,NK,0,0,0
chip4_1851035024_site_11,chip4,Run 1,NK,0,1,NK
chip4_1851035024_site_12,chip4,Run 1,NK,0,1,NK
chip4_1851035024_site_13,chip4,Run 1,Cancer-NK,1,0,Cancer
chip4_1851035024_site_14,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_15,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_16,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_17,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_18,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_19,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_20,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_21,chip4,Run 1,Cancer-NK,1,0,Cancer
chip4_1851035024_site_22,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_23,chip4,Run 1,Cancer-NK,1,0,Cancer
chip4_1851035024_site_24,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_25,chip4,Run 1,Cancer-NK,0,1,NK
chip4_1851035024_site_26,chip4,Run 1,Cancer-NK,1,0,Cancer
chip4_1851035024_site_27,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_28,chip4,Run 1,Cancer-NK,1,0,Cancer
chip4_1851035024_site_29,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_30,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_31,chip4,Run 1,Cancer-NK,1,0,Cancer
chip4_1851035024_site_32,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_33,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_34,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_35,chip4,Run 1,NK,0,1,NK
chip4_1851035024_site_36,chip4,Run 1,Cancer-NK,1,1,Cancer-NK
chip4_1851035024_site_37,chip4,Run 1,Cancer,1,0,Cancer
chip4_1851035024_site_38,chip4,Run 1,Cancer,1,0,Cancer
chip4_1851035024_site_39,chip4,Run 1,Cancer,1,0,Cancer
chip4_1851035024_site_40,chip4,Run 1,Cancer,1,0,Cancer
chip4_1851035024_site_41,chip4,Run 1,Cancer,1,0,Cancer
chip4_1851035024_site_42,chip4,Run 1,Cancer,1,0,Cancer
chip4_1851035024_site_43,chip4,Run 1,Cancer,1,0,Cancer
chip4_1851035024_site_44,chip4,Run 1,Cancer,1,0,Cancer
chip4_1851035024_site_45,chip4,Run 1,Cancer,1,0,Cancer
chip4_1851035024_site_46,chip4,Run 1,Cancer,0,0,0
chip4_1851035024_site_47,chip4,Run 1,Cancer,1,0,Cancer
chip4_1851035024_site_48,chip4,Run 1,Cancer,1,0,Cancer
